id,start_time,round__id,round__name,season__id,season__name,season__season_group_name,season__league_id,home_team__id,home_team__name,home_team__name_en,home_team__iso_country_code,away_team__id,away_team__name,away_team__name_en,away_team__iso_country_code,full_time,half_time_duration,extra_full_time,detail_match_result__home_team_score,detail_match_result__away_team_score,extra_match_result__id,extra_match_result__home_team_score,extra_match_result__away_team_score,extra_match_result__type,is_analysis_finished,live_analysing,analysis_completed_datetime,_dlt_load_id,_dlt_id
80677,2022-12-03 15:00:00 UTC,23797,1,2172,2022,2022,1534,3332,Netherlands,Netherlands,NL,14617,USA,USA,US,90,45,0,3,1,,,,,true,false,2022-12-04 14:06:50.615199 UTC,1709638475.131328,nM/E/UaAfx2YOw
57194,2022-11-29 19:00:00 UTC,18346,Round 3,2172,2022,2022,1534,6414,Iran,Iran,IR,14617,USA,USA,US,90,45,0,0,1,,,,,true,false,2022-11-30 11:15:39.506261 UTC,1709638475.131328,o9I4yitjmMDFsw
57193,2022-11-25 19:00:00 UTC,18345,Round 2,2172,2022,2022,1534,3343,England,England,GB,14617,USA,USA,US,90,45,0,0,0,,,,,true,false,2022-11-26 13:57:43.665489 UTC,1709638475.131328,BJ1swn2P+THCdQ
79017,2022-11-25 10:00:00 UTC,18345,Round 2,2172,2022,2022,1534,17868,Wales,Wales,GB,6414,Iran,Iran,IR,90,45,0,0,2,,,,,true,false,2022-11-26 10:35:01.289729 UTC,1709638475.131328,pVXTrdH42edVkw
57192,2022-11-21 13:00:00 UTC,18344,Round 1,2172,2022,2022,1534,3343,England,England,GB,6414,Iran,Iran,IR,90,45,0,6,2,,,,,true,false,2022-11-22 12:54:51.182697 UTC,1709638475.131328,MKyzTDUnibN2+Q
57221,2022-11-28 13:00:00 UTC,18363,Round 2,2172,2022,2022,1534,4998,Republic of Korea,Republic of Korea,KR,14624,Ghana,Ghana,GH,90,45,0,2,3,,,,,true,false,2022-11-29 02:52:35.179217 UTC,1709638475.131328,kHzNmfId+BfAKw
57219,2022-11-24 16:00:00 UTC,18362,Round 1,2172,2022,2022,1534,14611,Portugal,Portugal,PT,14624,Ghana,Ghana,GH,90,45,0,3,2,,,,,true,false,2022-11-25 15:05:00.913588 UTC,1709638475.131328,yHcATItbfWki5A
57191,2022-11-29 15:00:00 UTC,18343,Round 3,2172,2022,2022,1534,3332,Netherlands,Netherlands,NL,14614,Qatar,Qatar,QA,90,45,0,2,0,,,,,true,false,2022-11-30 10:05:53.691757 UTC,1709638475.131328,kdGfE3zFixf2ig
79014,2022-11-21 19:00:00 UTC,18344,Round 1,2172,2022,2022,1534,14617,USA,USA,US,17868,Wales,Wales,GB,90,45,0,1,1,,,,,true,false,2022-11-22 16:34:05.959639 UTC,1709638475.131328,3I83sqPnlP4rdw
57217,2022-12-02 19:00:00 UTC,18361,Round 3,2172,2022,2022,1534,9717,Cameroun,Cameroon,CM,14622,Brazil,Brazil,BR,90,45,0,1,0,,,,,true,false,2022-12-03 09:04:10.138539 UTC,1709638475.131328,JLLeYznmLwEvIA
57210,2022-11-27 16:00:00 UTC,18357,Round 2,2172,2022,2022,1534,14621,Croatia,Croatia,HR,14620,Canada,Canada,CA,90,45,0,4,1,,,,,true,false,2022-11-28 09:16:35.261644 UTC,1709638475.131328,Yuwuab4ytr2oIg
57207,2022-11-23 19:00:00 UTC,18356,Round 1,2172,2022,2022,1534,3339,Belgium,Belgium,BE,14620,Canada,Canada,CA,90,45,0,1,0,,,,,true,false,2022-11-24 09:44:26.37114 UTC,1709638475.131328,bLWD60xZ+/+HPw
80856,2022-12-10 19:00:00 UTC,23796,2,2172,2022,2022,1534,3343,England,England,GB,3338,France,France,FR,90,45,0,1,2,,,,,true,false,2022-12-11 12:02:15.280623 UTC,1709638475.131328,SLPC81kZXyQlrA
57203,2022-11-30 15:00:00 UTC,18352,Round 3,2172,2022,2022,1534,14619,Tunisia,Tunisia,TN,3338,France,France,FR,90,45,0,1,0,,,,,true,false,2022-12-01 11:19:17.794113 UTC,1709638475.131328,8WT/FBysDMkC4w
57200,2022-11-30 19:00:00 UTC,18349,Round 3,2172,2022,2022,1534,12844,Saudi Arabia,Saudi Arabia,SA,17742,Mexico,Mexico National Team,MX,90,45,0,1,2,,,,,true,false,2022-12-01 11:10:20.226283 UTC,1709638475.131328,2/V22Y9M077BRQ
57197,2022-11-26 19:00:00 UTC,18348,Round 2,2172,2022,2022,1534,14618,Argentina,Argentina,AR,17742,Mexico,Mexico National Team,MX,90,45,0,2,0,,,,,true,false,2022-11-27 14:32:04.124467 UTC,1709638475.131328,W/QfpSspZTpPDA
80679,2022-12-04 15:00:00 UTC,23797,1,2172,2022,2022,1534,3338,France,France,FR,3344,Poland,Poland,PL,90,45,0,3,1,,,,,true,false,2022-12-05 12:28:13.106507 UTC,1709638475.131328,7x/AO1AR9FlZLg
57196,2022-11-22 16:00:00 UTC,18347,Round 1,2172,2022,2022,1534,17742,Mexico,Mexico National Team,MX,3344,Poland,Poland,PL,90,45,0,0,0,,,,,true,false,2022-11-23 12:57:19 UTC,1709638475.131328,GDD9trXS2/RX0Q
57216,2022-11-28 10:00:00 UTC,18360,Round 2,2172,2022,2022,1534,9717,Cameroun,Cameroon,CM,14623,Serbia,Serbia,RS,90,45,0,3,3,,,,,true,false,2022-11-29 11:50:10.644569 UTC,1709638475.131328,gsmBJoLfDYGZyw
57213,2022-11-24 19:00:00 UTC,18359,Round 1,2172,2022,2022,1534,14622,Brazil,Brazil,BR,14623,Serbia,Serbia,RS,90,45,0,2,0,,,,,true,false,2022-11-25 12:12:19.854222 UTC,1709638475.131328,3IQOMC7k6zuINg
57212,2022-12-01 15:00:00 UTC,18358,Round 3,2172,2022,2022,1534,14621,Croatia,Croatia,HR,3339,Belgium,Belgium,BE,90,45,0,0,0,,,,,true,false,2022-12-02 09:59:11.577628 UTC,1709638475.131328,QiNxPb2mgiQebA
81286,2022-12-13 19:00:00 UTC,23795,3,2172,2022,2022,1534,14618,Argentina,Argentina,AR,14621,Croatia,Croatia,HR,90,45,0,3,0,,,,,true,false,2022-12-14 16:41:40.663089 UTC,1709638475.131328,SA0nwglPO+Exzw
57208,2022-11-23 10:00:00 UTC,18356,Round 1,2172,2022,2022,1534,11503,Morocco,Morocco,MA,14621,Croatia,Croatia,HR,90,45,0,0,0,,,,,true,false,2022-11-24 10:13:35.389432 UTC,1709638475.131328,DCDDeUbM28aeyw
79022,2022-11-30 15:00:00 UTC,18352,Round 3,2172,2022,2022,1534,17869,Australia,Australia,AU,10362,Denmark,Denmark,DK,90,45,0,1,0,,,,,true,false,2022-12-01 12:11:35.447616 UTC,1709638475.131328,7++NpQ7XOxmFUg
57202,2022-11-26 16:00:00 UTC,18351,Round 2,2172,2022,2022,1534,3338,France,France,FR,10362,Denmark,Denmark,DK,90,45,0,2,1,,,,,true,false,2022-11-27 13:12:42.242077 UTC,1709638475.131328,HCdisjvLh6gTBg
57188,2022-11-25 16:00:00 UTC,18342,Round 2,2172,2022,2022,1534,3332,Netherlands,Netherlands,NL,14615,Ecuador,Ecuador,EC,90,45,0,1,1,,,,,true,false,2022-11-26 15:05:19.740582 UTC,1709638475.131328,E+dekpI0yWbkJg
57186,2022-11-20 16:00:00 UTC,18341,Round 1,2172,2022,2022,1534,14614,Qatar,Qatar,QA,14615,Ecuador,Ecuador,EC,90,45,0,0,2,,,,,true,false,2022-11-21 13:06:15 UTC,1709638475.131328,+a8YAzf7W7yfjg
79021,2022-11-29 19:00:00 UTC,18346,Round 3,2172,2022,2022,1534,17868,Wales,Wales,GB,3343,England,England,GB,90,45,0,0,3,,,,,true,false,2022-11-30 11:08:39.495905 UTC,1709638475.131328,oGuDUys2MVWtZA
57206,2022-12-01 19:00:00 UTC,18355,Round 3,2172,2022,2022,1534,8456,日本代表,Japan,JP,14570,España,Spain,ES,90,45,0,2,1,,,,,true,false,2022-12-02 00:35:39.042552 UTC,1709638475.131328,Rwc2abBCVXLbVA
79023,2022-12-01 19:00:00 UTC,18355,Round 3,2172,2022,2022,1534,14680,Costa Rica,Costa Rica,CR,3330,Germany,Germany,DE,90,45,0,2,4,,,,,true,false,2022-12-02 08:53:34.562556 UTC,1709638475.131328,FgbiOZByAYBrIA
57205,2022-11-27 19:00:00 UTC,18354,Round 2,2172,2022,2022,1534,14570,España,Spain,ES,3330,Germany,Germany,DE,90,45,0,1,1,,,,,true,false,2022-11-28 07:43:00.987215 UTC,1709638475.131328,/3w9DPyzcZ6jhQ
81383,2022-12-17 15:00:00 UTC,23794,4,2172,2022,2022,1534,14621,Croatia,Croatia,HR,11503,Morocco,Morocco,MA,90,45,0,2,1,,,,,true,false,2022-12-18 13:27:38 UTC,1709638475.131328,egfjYS5KSSxIBQ
81287,2022-12-14 19:00:00 UTC,23795,3,2172,2022,2022,1534,3338,France,France,FR,11503,Morocco,Morocco,MA,90,45,0,2,0,,,,,true,false,2022-12-15 13:39:56.02851 UTC,1709638475.131328,SmQtpi4XNCA9SA
57211,2022-12-01 15:00:00 UTC,18358,Round 3,2172,2022,2022,1534,14620,Canada,Canada,CA,11503,Morocco,Morocco,MA,90,45,0,1,2,,,,,true,false,2022-12-02 13:29:25.837346 UTC,1709638475.131328,df7grXPATT5z7w
